url,title,price_usd,price_kgs,year,mileage_km,engine,transmission,city,image_url
https://mashina.kg/details/hyundai-sonata-69ba17dc0920f761903470,Hyundai Sonata VII (LF) Рестайлинг,13000,1136850,2021,240582,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/2/0/e/20e6034a39430a1cacabd0f75e8fe704_640x480.jpg
https://mashina.kg/details/kia-carnival-691475ec255b5052718098,Kia Carnival IV,17500,1530375,2022,163241,2.2 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/6/8/1/68141fa74aa32769de21bc167431a5ef_640x480.jpg
https://mashina.kg/details/toyota-sienna-6951f12455f50258128540,Toyota Sienna IV,44500,3891525,2021,78777,2.5 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/d/a/a/daa3a708cfd20542cf7b44039ce8f965_640x480.jpg
https://mashina.kg/details/toyota-land-cruiser-69c91ee54294d120199852,Toyota Land Cruiser 200 Series Рестайлинг 2,78000,6821100,2019,117000,4.6 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/9/b/6/9b6c40c354b700f4cc01fc95146a7999_640x480.jpg
https://mashina.kg/details/hyundai-sonata-69d7393789ad0099294219,Hyundai Sonata VII (LF) Рестайлинг,13200,1154340,2019,137551,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/4/9/e/49ea1284b67392d078c9ea9746f9038a_640x480.jpg
https://mashina.kg/details/lexus-gx-69d3495409e52399383885,Lexus GX II Рестайлинг 2,63800,5579310,2022,78999,4.6 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/8/0/f/80fd66c80dfc11a29d5d381f23b4a350_640x480.jpg
https://mashina.kg/details/hyundai-sonata-69f32616c018f151661164,Hyundai Sonata VII (LF) Рестайлинг,13200,1154340,2020,91855,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/b/4/d/b4d7f432fb398955749a7def34c45da2_640x480.jpg
https://mashina.kg/details/hyundai-avante-696a20fe805a0616203887,Hyundai Avante VII,12700,1110615,2021,127730,1.6 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/f/3/9/f39ac15f94697f09c7f2ae6b5bce1cf9_640x480.jpg
https://mashina.kg/details/chevrolet-spark-68f70da92df03629791657,Chevrolet Spark IV Рестайлинг,7800,682110,2020,108647,1.0 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/4/8/9/489c71029acc607b3b5930c3cad70ee9_640x480.jpg
https://mashina.kg/details/renault-samsung-xm3-687f50441734d633423433,Renault Samsung XM3,15500,1355475,2023,17,1.6 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/a/a/0/aa07fdf716ab32f0a9186d3e8567b1fc_640x480.jpg
https://mashina.kg/details/kia-k5-69ba30c0b3b78987049094,Kia K5 II,13000,1136850,2020,300774,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/f/0/a/f0a77f01b118a1e5ce35c5e264823417_640x480.jpg
https://mashina.kg/details/hyundai-sonata-69ba168d5d599168432377,Hyundai Sonata VIII (DN8),14500,1268025,2022,94585,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/6/e/16e2c0c2c0ddab19b8faefaf25d38c66_640x480.jpg
https://mashina.kg/details/chevrolet-malibu-6a044a45de7f9bc176df4c0f,Продажа Chevrolet Malibu IX 2018,8800,769560,2018,232000,1.5 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-13/10031225/24e7cbcd5959e94fc5ee1d16a80ea888_medium.webp
https://mashina.kg/details/kia-k3-69f704bb1fd7b322397835,Kia K3 II,12500,1093125,2019,58000,1.6 л.,вариатор,Бишкек,https://im.mashina.kg/tachka/images/2/f/a/2fa7164878927325d454a719b4151036_640x480.jpg
https://mashina.kg/details/hyundai-grandeur-69d7365ae6edc852968546,Hyundai Grandeur VI Рестайлинг,15000,1311750,2022,240121,3.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/5/4/3/5439a5a8170bee710f98126dccff79ad_640x480.jpg
https://mashina.kg/details/lexus-lx-6a00ae093d29f805968806,Lexus LX III,34500,3017025,2011,315000,5.7 л.,автомат,Бишкек,https://storage.mashina.kg/catalog/images/2026-05-13/4562331/4a64a511c6075dc5e24e3f3ad7d4126f_medium.webp
https://mashina.kg/details/hyundai-sonata-69d7380c8a9b6196253452,Hyundai Sonata VIII (DN8),13400,1171830,2022,220182,2.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/1/d/a/1da598f546634cae64b512534ccdf809_640x480.jpg
https://mashina.kg/details/kia-k7-69b27d6ae52b4417972999,Kia K7 YG (II) Рестайлинг,17381,1520000,2020,141000,3.0 л.,автомат,Бишкек,https://im.mashina.kg/tachka/images/d/9/b/d9bb1aba99ceab797b3ac8d2a33ddd72_640x480.jpg
